id;nome;cpf;telefone;deficiencia
1;initiative Macao Ball;Account India;SAS;INTELECTUAL_MENTAL
2;transmitter Keyboard;South;ubiquitous Sleek Berkshire;DOENCA_RARA
3;1080p;Intuitive capacity;driver;VISUAL
4;Towels;bypass;Tasty generating;INTELECTUAL_MENTAL
5;initiatives West;Garden;Tasty SSL;INTELECTUAL_MENTAL
6;enable;architect Guiana Hampshire;Visionary Proactive;MULTIPLA
7;up;Sheqel withdrawal Group;technologies granular withdrawal;DOENCA_RARA
8;Shoes;lavender Home;Phased;AUDITIVA
9;alliance;feed;pink optimize;INTELECTUAL_MENTAL
10;Outdoors;intuitive;Djibouti Movies;DOENCA_RARA
